1000 3
-57.692528 -34.439533 -30.672783
-65.506424 -44.190151 -28.659431
-58.203888 -39.526432 -25.569357
-58.986549 -43.317917 -24.654877
-63.875473 -44.042110 -26.068989
-60.006504 -36.532249 -25.919380
-67.147873 -43.810535 -30.006571
-58.595684 -41.642746 -29.019474
-56.758579 -35.468254 -33.697071
-60.758190 -46.284817 -22.523230
-61.949265 -48.373013 -28.543663
-58.786736 -46.817459 -25.216314
-63.898125 -43.759068 -25.713478
-56.321476 -43.764965 -27.405121
-59.615879 -42.569214 -39.237766
-54.638748 -41.752567 -33.154259
-59.152664 -43.230858 -24.549707
-59.179760 -38.583290 -22.808247
-56.304222 -43.054012 -27.389128
-59.594223 -44.796974 -40.032082
-58.315403 -41.730770 -25.476379
-63.899773 -40.292797 -26.149651
-64.485596 -42.195820 -37.843403
-56.193871 -41.809299 -31.538668
-56.568810 -36.012955 -26.392370
-61.734409 -45.022179 -23.272087
-58.726070 -41.693424 -29.071068
-60.285225 -42.486034 -39.778183
-63.550392 -46.091309 -22.378616
-63.218990 -39.685638 -23.384451
-59.543461 -44.847363 -40.076694
-63.988144 -49.280899 -29.265253
-67.111961 -43.193832 -26.021130
-67.604431 -41.079723 -28.520529
-52.747272 -42.320919 -32.235531
-57.810307 -37.862671 -38.044498
-61.934967 -45.814804 -28.605541
-59.171856 -48.130684 -34.391125
-64.562141 -45.376480 -29.816980
-55.465149 -40.958828 -37.995296
-62.978580 -44.976665 -24.473145
-63.636543 -45.216808 -22.745962
-55.770927 -38.335484 -32.365883
-55.364784 -42.554382 -34.882912
-57.193001 -37.101513 -28.482944
-54.931046 -41.714680 -28.490122
-53.671177 -40.633064 -30.625792
-63.229618 -41.273403 -24.239725
-56.901333 -39.558380 -27.302174
-56.538464 -43.266262 -29.859953
-53.532692 -40.426250 -28.368813
-55.370995 -40.319805 -31.444046
-60.176735 -45.671761 -25.636271
-59.827217 -49.520882 -31.623945
-61.083584 -38.274605 -36.185024
-58.444309 -49.978039 -30.655878
-63.255024 -41.061481 -36.307285
-64.913147 -45.299179 -23.566168
-57.528324 -34.693863 -30.940912
-59.720821 -43.281460 -26.517588
-58.136200 -44.003780 -25.122381
-64.946274 -41.706654 -23.734234
-58.345970 -43.722607 -24.972902
-67.217789 -42.815819 -25.862257
-58.778286 -34.112503 -30.291424
-57.608440 -41.074642 -22.341856
-63.164700 -41.611965 -31.110386
-60.537159 -42.112022 -39.416531
-64.317657 -45.811207 -29.420794
-54.910847 -43.648422 -23.875200
-58.811657 -39.166958 -23.493010
-62.307293 -45.335403 -26.490999
-53.629833 -40.760460 -33.397923
-53.418243 -41.699902 -28.417273
-58.019112 -48.285126 -26.647655
-65.327721 -37.274330 -30.890770
-64.274704 -42.240467 -35.353760
